GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
panda,devop_project.panda,Column,0,147,0,16,0,35,0,18,0,10
panda,devop_project.panda,DataFrame,12,84,0,6,5,14,2,6,2,3
